h_type,epsilon,k,gamma_0,status,delta_Im,delta_pred_Im,delta_Im_error,Z_prime,inv_abs_Z_prime,h0,C_where,C_where_pred,spacing_prev,spacing_next,local_spacing,residual_abs
h=cos(t/T),1e-05,4920,594031.644145898,ok,2.3455359041690826e-06,2.3460194626247886e-06,4.835584557059533e-10,-3.6894202482542586,0.27104529511734937,0.865545170820647,0.23455359041690824,0.23460194626247885,352.8481364110485,126.51017505093478,126.51017505093478,1.2930742211497325e-25
h=cos(t/T),1e-05,4921,594158.154320949,ok,-1.6283011063933372e-06,-1.6282327813271234e-06,6.832506621382153e-11,5.315512777091989,0.18812860432010475,0.8654892153224351,-0.16283011063933372,-0.16282327813271233,126.51017505093478,499.97432059806306,126.51017505093478,2.7284226597246906e-25
h=cos(t/T),1e-05,4922,594658.128641547,ok,-2.0100269466638565e-06,-2.009307856790935e-06,7.190898729216092e-10,4.306298648452441,0.2322179861722714,0.8652679708023673,-0.20100269466638562,-0.20093078567909348,499.97432059806306,157.03724977991078,157.03724977991078,9.976818694199287e-26
h=cos(t/T),1e-05,4923,594815.165891327,ok,-6.793998181819916e-07,-6.788750908664979e-07,5.247273154936757e-10,12.744589642525586,0.07846466838471158,0.8651984451625784,-0.06793998181819916,-0.06788750908664978,157.03724977991078,57.49167195998598,57.49167195998598,3.339915918170567e-26
h=cos(t/T),1e-05,4924,594872.657563287,ok,6.258487701416016e-07,6.260215481122816e-07,1.7277797068000714e-10,-13.820179035784177,0.0723579627594353,0.8651729875170509,0.06258487701416016,0.06260215481122815,57.49167195998598,111.94816063903272,57.49167195998598,1.1676283040243296e-25
h=cos(t/T),1e-05,4925,594984.605723926,ok,1.2632226571440697e-06,1.2629246312211803e-06,2.980259228893585e-10,-6.850158659015424,0.1459820202388904,0.8651234098243629,0.12632226571440697,0.12629246312211803,111.94816063903272,148.41392428404652,111.94816063903272,7.757812922914529e-26
h=cos(t/T),1e-05,4926,595133.01964821,ok,-3.954279236495495e-06,-3.954634609842716e-06,3.5537334722149827e-10,2.1874528372590976,0.45715271340570296,0.8650576697623472,-0.39542792364954943,-0.39546346098427154,148.41392428404652,22.179298817995004,22.179298817995004,6.874544519207227e-26
h=cos(t/T),1e-05,4927,595155.198947028,ok,-6.351619958877563e-07,-6.356294048434908e-07,4.674089557344567e-10,13.609311299273626,0.07347910397592075,0.8650478441487088,-0.06351619958877563,-0.06356294048434907,22.179298817995004,328.3145634229295,22.179298817995004,4.848900548272022e-25
h=cos(t/T),1e-05,4928,595483.513510451,ok,5.810288712382317e-07,5.809987962370512e-07,3.007500118048767e-11,-14.886474203780717,0.06717507358095781,0.864902359261051,0.05810288712382316,0.05809987962370511,328.3145634229295,268.82990147103556,268.82990147103556,1.4598478679003012e-26
h=cos(t/T),1e-05,4929,595752.343411922,ok,1.9418075680732727e-07,1.943167808161552e-07,1.3602400882793924e-10,-44.5037827324228,0.02247000004499527,0.8647831794705992,0.019418075680732727,0.019431678081615517,268.82990147103556,180.12542809406295,180.12542809406295,2.122555799837764e-24
h=cos(t/T),1e-05,4930,595932.468840016,ok,-2.5937333703041077e-07,-2.591733042824774e-07,2.0003274793334697e-10,33.36390296730935,0.02997251253787127,0.8647032975797518,-0.025937333703041073,-0.025917330428247745,180.12542809406295,35.489285609917715,35.489285609917715,1.5983835282926037e-24
h=cos(t/T),1e-05,4931,595967.958125626,ok,5.830079317092896e-07,5.831746499664586e-07,1.6671825716903652e-10,-14.827248685923992,0.06744339568198743,0.8646875562379356,0.05830079317092895,0.05831746499664585,35.489285609917715,8.835770530975424,8.835770530975424,3.2439107900174815e-25
h=cos(t/T),1e-05,4932,595976.793896157,ok,7.943017408251762e-07,7.930897147899244e-07,1.2120260352518035e-09,-10.90272160712228,0.09172021776165898,0.8646836369826555,0.07943017408251762,0.07930897147899245,8.835770530975424,7.692063286085613,7.692063286085613,8.876243190343652e-27
