k,Im_rho_0,Re_eps,Im_eps,delta_Re,delta_Im,Ck_Re,Ck_Im
157,3769.293394313,0.4999985728337401,3769.293399120153,-1.4271662598930313e-06,4.8071528908621985e-06,-0.17140136420313656,0.5773346712166453
158,3772.512331217,0.4999936625924953,3772.5123330334936,-6.337407504719561e-06,1.8164937500841916e-06,-0.7611168525673695,0.21815924015344793
159,3777.833370602,0.5000004027397985,3777.8333638922713,4.027397985106873e-07,-6.709728495479794e-06,0.048368681928342455,-0.8058322634701963
160,3784.265550344,0.4999995412210811,3784.265555525704,-4.5877891891032974e-07,5.181703727430431e-06,-0.05509892910077944,0.6223178845642149
161,3799.298497077,0.5000012428487693,3799.2985024195573,1.2428487693449952e-06,5.342557415133342e-06,0.1492650019486085,0.6416362655294786
162,3834.353094561,0.4999984616574997,3834.353105046797,-1.5383425002735152e-06,1.0485796792636393e-05,-0.18475352912162268,1.259334616801732
163,3855.955254473,0.4999964313272207,3855.9552569780685,-3.568672779286075e-06,2.5050685508176684e-06,-0.428594341075635,0.3008564447597752
164,3896.642632278,0.5000026177168664,3896.6426292061415,2.617716866382125e-06,-3.071858373004943e-06,0.31438540456322545,-0.3689273846842053
165,3944.030362807,0.5000071027647496,3944.030380448033,7.10276474957805e-06,1.764103308232734e-05,0.8530355585780703,2.11867195941852
166,3953.356526591,0.5000032658208399,3953.3565072889023,3.2658208398705924e-06,-1.9302097825857345e-05,0.3922220997845116,-2.318164317857624
167,3977.113908695,0.5000203946644539,3977.113897429915,2.0394664453915468e-05,-1.1265085049672052e-05,2.449380571909215,-1.3529264246499697
168,3982.048502087,0.500002700029834,3982.04850421511,2.700029834046269e-06,2.128109827026492e-06,0.32427111679292775,0.2555840463561556
169,3995.168459723,0.499998239789384,3995.1684677272674,-1.7602106159864128e-06,8.00426732894266e-06,-0.2113996871587531,0.9613051949043397
170,4048.380709828,0.5000053827729892,4048.3807074886577,5.382772989226403e-06,-2.339342245250009e-06,0.6464661192441254,-0.2809528668397284
